vensimID,Spartina,Sed Increase,Marsh Elevation,Plant Growth,T,SLR Rate,TIME STEP,D 
0,2.000000,0.051000,1.000000,0.050000,0,-0.001,1,2010-06-01
1,2.050000,0.052250,1.001000,0.051250,1,-0.001,1,2011-06-01
2,2.101250,0.053531,1.002000,0.052531,2,-0.001,1,2012-06-01
3,2.153781,0.054845,1.003000,0.053845,3,-0.001,1,2013-06-01
4,2.207626,0.056191,1.004000,0.055191,4,-0.001,1,2014-06-01
5,2.262816,0.057570,1.005000,0.056570,5,-0.001,1,2015-06-01
6,2.319387,0.058985,1.006000,0.057985,6,-0.001,1,2016-06-01
7,2.377372,0.060434,1.007000,0.059434,7,-0.001,1,2017-06-01
8,2.436806,0.061920,1.008000,0.060920,8,-0.001,1,2018-06-01
9,2.497726,0.063443,1.009000,0.062443,9,-0.001,1,2019-06-01
10,2.560169,0.065004,1.010000,0.064004,10,-0.001,1,2020-06-01
11,2.624173,0.066604,1.011000,0.065604,11,-0.001,1,2021-06-01
12,2.689778,0.068244,1.012000,0.067244,12,-0.001,1,2022-06-01
13,2.757022,0.069926,1.013000,0.068926,13,-0.001,1,2023-06-01
14,2.825948,0.071649,1.014000,0.070649,14,-0.001,1,2024-06-01
15,2.896596,0.073415,1.015000,0.072415,15,-0.001,1,2025-06-01
16,2.969011,0.075225,1.016000,0.074225,16,-0.001,1,2026-06-01
17,3.043237,0.077081,1.017000,0.076081,17,-0.001,1,2027-06-01
18,3.119317,0.078983,1.018000,0.077983,18,-0.001,1,2028-06-01
19,3.197300,0.080933,1.019000,0.079933,19,-0.001,1,2029-06-01
20,3.277233,0.082931,1.020000,0.081931,20,-0.001,1,2030-06-01
21,3.359164,0.084979,1.021000,0.083979,21,-0.001,1,2031-06-01
22,3.443143,0.087079,1.022000,0.086079,22,-0.001,1,2032-06-01
23,3.529221,0.089231,1.023000,0.088231,23,-0.001,1,2033-06-01
24,3.617452,0.091436,1.024000,0.090436,24,-0.001,1,2034-06-01
25,3.707888,0.093697,1.025000,0.092697,25,-0.001,1,2035-06-01
26,3.800585,0.096015,1.026000,0.095015,26,-0.001,1,2036-06-01
27,3.895600,0.098390,1.027000,0.097390,27,-0.001,1,2037-06-01
28,3.992990,0.100825,1.028000,0.099825,28,-0.001,1,2038-06-01
29,4.092815,0.103320,1.029000,0.102320,29,-0.001,1,2039-06-01
30,4.195135,0.105878,1.030000,0.104878,30,-0.001,1,2040-06-01
31,4.300014,0.108500,1.031000,0.107500,31,-0.001,1,2041-06-01
32,4.407514,0.111188,1.032000,0.110188,32,-0.001,1,2042-06-01
33,4.517702,0.113943,1.033000,0.112943,33,-0.001,1,2043-06-01
